"County","City","SOW","DSCI","Precipitation","SoilTemp10","SoilTemp20","SoilMoisture10","SoilMoisture20","SoilMoistureVol10","SoilMoistureVol20"
Adams County,Natchez,2023-05-30 00:00:00.000,49,0.39,63.76,63.76,4.28,11.28,0.27,0.29
Adams County,Natchez,2023-06-06 00:00:00.000,49,1.59,64.1,64.1,4.14,11.04,0.26,0.28
Adams County,Natchez,2023-06-13 00:00:00.000,52,1.19,64.63,64.63,4.04,10.8,0.26,0.27
Adams County,Natchez,2023-06-20 00:00:00.000,100,0.66,65.13,65.13,3.96,10.63,0.25,0.27
Adams County,Natchez,2023-06-27 00:00:00.000,100,0.21,65.76,65.76,3.81,10.41,0.24,0.26
Adams County,Natchez,2023-07-04 00:00:00.000,100,2.78,66.39,66.39,3.7,10.17,0.24,0.26
Adams County,Natchez,2023-07-11 00:00:00.000,100,1.02,67.03,67.03,3.8,10.09,0.24,0.26
Adams County,Natchez,2023-07-18 00:00:00.000,87,0.01,67.66,67.66,3.91,9.94,0.25,0.25
Adams County,Natchez,2023-07-25 00:00:00.000,100,0.0,68.29,68.29,3.77,9.81,0.24,0.25
Adams County,Natchez,2023-08-01 00:00:00.000,100,0.0,68.87,68.87,3.59,9.6,0.23,0.24
Adams County,Natchez,2023-08-08 00:00:00.000,100,0.01,69.43,69.43,3.41,9.37,0.22,0.24
Adams County,Natchez,2023-08-15 00:00:00.000,200,0.0,70.0,70.0,3.31,9.19,0.21,0.23
Adams County,Natchez,2023-08-22 00:00:00.000,300,0.87,70.53,70.53,3.21,9.04,0.2,0.23
Adams County,Natchez,2023-08-29 00:00:00.000,400,0.22,71.03,71.03,3.16,8.89,0.2,0.23
Adams County,Natchez,2023-09-05 00:00:00.000,400,0.05,71.47,71.47,3.09,8.77,0.2,0.22
Adams County,Natchez,2023-09-12 00:00:00.000,400,1.04,71.83,71.83,3.04,8.63,0.19,0.22
Adams County,Natchez,2023-09-19 00:00:00.000,499,0.0,72.14,72.14,3.04,8.59,0.19,0.22
Adams County,Natchez,2023-09-26 00:00:00.000,499,0.01,72.43,72.43,2.99,8.5,0.19,0.22
Adams County,Natchez,2023-10-03 00:00:00.000,499,0.03,72.67,72.67,2.94,8.43,0.19,0.21
Adams County,Natchez,2023-10-10 00:00:00.000,500,0.15,72.83,72.83,2.94,8.41,0.19,0.21
Adams County,Natchez,2023-10-17 00:00:00.000,500,0.0,72.84,72.84,2.97,8.43,0.19,0.21
Adams County,Natchez,2023-10-24 00:00:00.000,500,0.0,72.7,72.7,2.99,8.44,0.19,0.21
Adams County,Natchez,2023-10-31 00:00:00.000,500,0.01,72.57,72.57,3.01,8.44,0.19,0.21
Adams County,Natchez,2023-11-07 00:00:00.000,500,0.28,72.31,72.31,3.04,8.46,0.19,0.22
Adams County,Natchez,2023-11-14 00:00:00.000,500,2.19,72.04,72.04,3.13,8.56,0.2,0.22
Adams County,Natchez,2023-11-21 00:00:00.000,451,0.86,71.53,71.53,3.39,8.66,0.22,0.22
Adams County,Natchez,2023-11-28 00:00:00.000,451,0.12,70.86,70.86,3.51,8.79,0.22,0.22
Adams County,Natchez,2023-12-05 00:00:00.000,451,0.46,70.0,70.0,3.8,8.94,0.24,0.23
Adams County,Natchez,2023-12-12 00:00:00.000,451,0.8,69.07,69.07,3.96,9.13,0.25,0.23
Adams County,Natchez,2023-12-19 00:00:00.000,451,0.86,68.13,68.13,4.04,9.27,0.26,0.24
Adams County,Natchez,2023-12-26 00:00:00.000,451,0.01,67.21,67.21,4.21,9.43,0.27,0.24
Adams County,Natchez,2024-01-02 00:00:00.000,458,0.78,66.17,66.17,4.39,9.63,0.28,0.24
Adams County,Natchez,2024-01-09 00:00:00.000,365,0.27,65.09,65.09,4.93,10.29,0.31,0.26
Adams County,Natchez,2024-01-16 00:00:00.000,365,0.0,64.04,64.04,5.16,12.06,0.33,0.31
Adams County,Natchez,2024-01-23 00:00:00.000,365,3.1,62.97,62.97,5.61,12.99,0.36,0.33
